Player,Team,Position,Games,Bye,Yahoo,Sleeper,RTSports,JJ Tier,JJ Rank,Draftsharks,SOS,InjuryRisk,FloorProj,ConsensusProj,DSProj,CeilingProj,3D Value
Tyreek Hill,MIA,WR,17,12,34,28,27,8,30,27,2.90%,0.59,167,202,217,285,55
Davante Adams,LAR,WR,17,8,41,44,42,8,31,39,0.40%,0.44,168,202,205,246,45
Kyren Williams,LAR,RB,17,8,26,25,24,8,32,21,2.60%,0.89,204,231,237,285,60
Kenneth Walker III,SEA,RB,17,8,43,43,38,8,33,29,3.40%,0.42,192,202,232,280,54
Breece Hall,NYJ,RB,17,9,38,32,29,8,34,41,5.00%,0.48,186,195,211,274,45
Jayden Daniels,WAS,QB,17,12,28,33,28,9,35,28,-2.30%,0.28,334,361,384,415,54
Jalen Hurts,PHI,QB,17,9,33,37,37,9,36,32,-0.50%,0.56,333,356,379,413,51
James Cook,BUF,RB,17,7,31,30,33,9,37,31,-1.90%,0.32,197,212,231,266,52
George Kittle,SF,TE,17,14,30,38,40,9,38,37,3.60%,0.81,160,188,188,229,46
Garrett Wilson,NYJ,WR,17,9,36,34,39,9,39,44,3.00%,0.38,170,183,191,246,39
Marvin Harrison Jr.,ARI,WR,17,8,39,35,44,9,40,42,0.90%,0.43,169,194,194,248,41
Alvin Kamara,NO,RB,17,11,45,40,34,9,41,33,6.90%,0.88,178,206,234,262,50
Mike Evans,TB,WR,17,9,35,39,47,10,42,36,0.70%,0.82,179,198,215,243,48
Devonta Smith,PHI,WR,17,9,51,53,55,10,43,53,1.10%,0.82,165,180,187,234,35
James Conner,ARI,RB,17,8,46,47,49,10,44,40,4.70%,0.88,162,196,228,256,45
Tetairoa McMillan,CAR,WR,17,14,76,59,53,10,45,48,2.00%,0,159,171,196,249,38
Jameson Williams,DET,WR,17,8,65,60,62,10,46,52,1.00%,0.43,159,165,189,244,35
George Pickens,DAL,WR,17,10,61,63,68,10,47,55,-3.20%,0.35,158,169,189,238,34
TreVeyon Henderson,NE,RB,17,14,68,54,43,10,48,60,3.70%,0,146,176,191,247,29
DK Metcalf,PIT,WR,17,5,48,46,51,11,49,45,1.90%,0.31,168,189,197,233,39
Xavier Worthy,KC,WR,17,10,59,58,61,11,50,49,0.60%,0.37,162,176,190,248,37
Terry McLaurin,WAS,WR,17,12,44,41,46,11,51,46,-0.20%,0.43,165,189,197,232,39
Calvin Ridley,TEN,WR,17,10,75,71,57,11,52,61,1.20%,0.29,149,167,187,211,29
Chuba Hubbard,CAR,RB,17,14,42,45,41,11,53,38,3.40%,0.3,176,202,223,258,46
RJ Harvey,DEN,RB,17,12,54,56,52,11,54,66,-3.00%,0,140,163,184,242,27
Travis Hunter,JAC,WR,17,8,73,66,71,11,55,59,-1.20%,0,132,155,178,254,30
Jaylen Waddle,MIA,WR,17,12,71,69,77,11,56,50,2.90%,0.55,158,165,195,238,36
Courtland Sutton,DEN,WR,17,12,55,50,50,11,57,54,-1.30%,0.7,170,180,193,216,34
DJ Moore,CHI,WR,17,5,52,49,45,11,58,43,0.50%,0.45,166,183,196,239,39
Tony Pollard,TEN,RB,17,10,58,70,56,12,59,65,-0.40%,0.35,143,175,185,234,27
Rashee Rice,KC,WR,11,10,62,48,66,12,60,63,0.60%,0.37,116,182,181,226,28
Joe Burrow,CIN,QB,17,10,40,42,32,12,61,51,-4.80%,0.63,316,340,368,382,35
Stefon Diggs,NE,WR,17,14,98,90,79,12,62,83,1.10%,0.32,131,146,160,211,20
Zay Flowers,BAL,WR,17,7,57,55,70,12,63,56,1.20%,0.36,169,170,192,214,32
Isiah Pacheco,KC,RB,17,10,63,62,58,12,64,62,-1.00%,0.9,139,164,196,243,29
Chris Olave,NO,WR,17,11,79,73,76,12,65,69,-1.00%,0.69,136,155,176,226,26
